ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,target
1,0.38,0.016,0,0,0,0,0,0,0.108,0.00088,0,0,0,0.127,0,1,0,0,0,0.085,0,class3
2,0.37,0.025,0,0,0,0,0,0,0.084,0.0051,0,0,0,0.08,0,0,0,0,0,0.104,0,class3
3,0.57,0.022,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
4,0.54,0.0206,0,1,0,0,0,0,0.101,0.0002,0,1,0,0.158,0,0,0,0,0,0.064,0,class3
5,0.42,0.0208,0,0,0,0,0,0,0.123,0.0072,0,0,0,0.104,0,0,0,0,0,0.116,0,class2
6,0.57,0.03,0,0,0,0,0,0,0.106,0.0018,0,0,0,0.096,0,0,0,0,0,0.112,0,class3
7,0.64,0.01,0,0,0,0,0,0,0.101,9e-05,0,0,0,0.123,0,0,0,0,0,0.082,0,class3
8,0.66,0.016,0,0,0,0,0,0,0.126,0.0032,0,0,0,0.123,0,0,0,0,0,0.102,0,class3
9,0.34,0.02,0,0,0,0,0,0,0.095,0.0078,1,0,0,0.096,0,0,0,0,0,0.099,0,class2
10,0.28,0.023,0,0,0,0,0,0,0.042,0.035,1,0,0,0.041,0,0,0,0,0,0.101,0,class1
11,0.22,0.0206,0,0,0,0,0,0,0.151,0.00189,0,1,0,0.144,0,0,0,0,0,0.104,0,class3
12,0.74,0.007,0,0,0,0,0,0,0.069,0.023,0,0,1,0.066,0,0,0,0,0,0.104,0,class2
13,0.42,0.0206,0,0,0,0,0,0,0.258,0.0004,0,1,0,0.227,0,0,0,0,0,0.114,0,class3
14,0.32,0.017,0,1,0,1,0,0,0.085,0.0002,0,0,0,0.101,0,0,0,0,0,0.084,0,class3
15,0.22,0.025,0,1,0,0,0,0,0.106,0.0012,0,0,0,0.10685,0,0,0,0,0,0.099,0,class3
16,0.4,0.002,0,0,0,0,0,0,0.0048,0.042,0,0,0,0.0054,0,0,0,0,0,0.09,0,class1
17,0.57,0.0208,0,0,0,0,0,0,0.093,0.0009,0,0,0,0.104,0,0,0,0,0,0.09,0,class3
18,0.63,0.0096,0,0,0,0,0,0,0.063,0.07,0,0,0,0.053,0,0,0,0,0,0.119,0,class1
19,0.47,0.012,0,1,0,0,0,1,0.072,2e-05,0,0,0,0.088,0,0,0,0,0,0.082,0,class3
20,0.24,0.0206,0,0,0,0,0,0,0.166,0.0045,0,1,0,0.104,0,0,0,0,0,0.159,0,class3
21,0.26,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
22,0.36,0.0206,0,0,0,0,0,0,0.115,0.00058,0,0,0,0.096,0,0,0,0,0,0.12,0,class3
23,0.6,0.0206,0,0,0,0,0,0,0.127,0.00208,0,0,0,0.126,0,0,0,0,0,0.101,0,class3
24,0.53,0.018,0,0,0,0,0,0,0.105,0.0015,0,0,0,0.10584,0,0,0,0,0,0.099,0,class3
25,0.61,0.023,0,1,1,0,0,0,0.11,0.0,0,0,0,0.109,0,0,0,0,0,0.101,0,class3
26,0.51,0.018,0,0,0,0,0,0,0.068,0.002,0,0,0,0.086,0,0,0,0,0,0.079,0,class3
27,0.69,0.016,0,1,0,0,0,0,0.086,0.00025,0,0,0,0.123,0,0,0,0,0,0.07,0,class3
28,0.33,0.0206,0,0,0,0,0,0,0.087,0.00189,0,0,0,0.101,0,0,0,0,0,0.086,0,class3
29,0.6,0.0208,0,0,0,0,0,0,0.112,0.0016,0,0,0,0.114,0,0,0,0,0,0.098,0,class3
30,0.08,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,1,0,0.11207,0,0,0,0,0,0.099,0,class3
31,0.27,0.022,0,0,0,0,0,0,0.182,0.0015,0,0,0,0.133,0,0,0,0,0,0.137,0,class3
32,0.35,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
33,0.64,0.031,0,0,0,0,0,0,0.169,5e-05,0,0,0,0.14,0,0,0,0,0,0.121,0,class3
34,0.38,0.022,0,1,0,0,0,0,0.086,0.00037,0,0,0,0.115,0,0,0,1,0,0.075,0,class3
