model,validation,fold,accuracy,balanced_accuracy,macro_f1,log_loss
dummy_most_frequent,stratified_5fold,1,0.9125,0.3333333333333333,0.31808278867102396,3.1538196715477507
dummy_most_frequent,stratified_5fold,2,0.9109375,0.3333333333333333,0.3177977650585991,3.2101378799682463
dummy_most_frequent,stratified_5fold,3,0.9109375,0.3333333333333333,0.3177977650585991,3.2101378799682463
dummy_most_frequent,stratified_5fold,4,0.9109375,0.3333333333333333,0.3177977650585991,3.2101378799682463
dummy_most_frequent,stratified_5fold,5,0.9109375,0.3333333333333333,0.3177977650585991,3.2101378799682463
logreg_balanced,stratified_5fold,1,0.953125,0.9321243557905418,0.8346166728365682,0.2602690747486312
logreg_balanced,stratified_5fold,2,0.9671875,0.9620711224484809,0.8952752925385598,0.19920429327987438
logreg_balanced,stratified_5fold,3,0.9640625,0.9786494538232374,0.8791534314781669,0.25160339812732674
logreg_balanced,stratified_5fold,4,0.965625,0.9540489302157624,0.8865906726952387,0.20252548576542778
logreg_balanced,stratified_5fold,5,0.9859375,0.9532815744335107,0.9310274984905798,0.2137499266303328
decision_tree_depth3,stratified_5fold,1,0.9953125,0.9982876712328768,0.98158561334527,0.020411371189558852
decision_tree_depth3,stratified_5fold,2,0.9921875,0.9971412235563178,0.9784841346436565,0.025229887683268358
decision_tree_depth3,stratified_5fold,3,0.9984375,0.9994282447112636,0.9953848726380915,0.01025748762039276
decision_tree_depth3,stratified_5fold,4,0.9875,0.9784538533297221,0.9557670458737255,0.14169191674721787
decision_tree_depth3,stratified_5fold,5,0.9921875,0.9971412235563178,0.9733507807151218,0.02783655514058945
decision_tree_depth5,stratified_5fold,1,0.996875,0.9809107052257738,0.9855764098914784,0.06388663243046158
decision_tree_depth5,stratified_5fold,2,1.0,1.0,1.0,0.001190998823196835
decision_tree_depth5,stratified_5fold,3,1.0,1.0,1.0,0.001152948847765618
decision_tree_depth5,stratified_5fold,4,0.99375,0.9807408744846678,0.9727636564315891,0.12876370290916728
decision_tree_depth5,stratified_5fold,5,1.0,1.0,1.0,0.001152948847765618
random_forest_depth6_balanced,stratified_5fold,1,0.9953125,0.9803399289700659,0.9723627176457365,0.17480238561424474
random_forest_depth6_balanced,stratified_5fold,2,0.99375,0.9977129788450543,0.9825923904677945,0.1620166472395559
random_forest_depth6_balanced,stratified_5fold,3,0.996875,0.9818843850621407,0.9821578594110782,0.12651046660216655
random_forest_depth6_balanced,stratified_5fold,4,0.9890625,0.995997712978845,0.9650495177547515,0.1296099218386796
random_forest_depth6_balanced,stratified_5fold,5,0.9921875,0.9801691191959314,0.9646420267536312,0.13546597799767152
lightgbm_baseline,stratified_5fold,1,0.9984375,0.9994292237442922,0.9953853629946176,0.009289437705302795
lightgbm_baseline,stratified_5fold,2,0.9984375,0.9994282447112636,0.9954944676843954,0.007731161733286954
lightgbm_baseline,stratified_5fold,3,0.9984375,0.9994282447112636,0.9953848726380915,0.0066890835621600305
lightgbm_baseline,stratified_5fold,4,0.9921875,0.9807408744846678,0.9724785166393479,0.026136059281129675
lightgbm_baseline,stratified_5fold,5,1.0,1.0,1.0,0.005120982854835596
dummy_most_frequent,id_block_5fold,1,0.8859375,0.3333333333333333,0.3131731565865783,4.111229214696175
dummy_most_frequent,id_block_5fold,2,0.928125,0.3333333333333333,0.3209076175040519,2.5906375873427954
dummy_most_frequent,id_block_5fold,3,0.91875,0.3333333333333333,0.31921824104234525,2.9285468378657686
dummy_most_frequent,id_block_5fold,4,0.903125,0.3333333333333333,0.31636562671045426,3.491728922070725
dummy_most_frequent,id_block_5fold,5,0.9203125,0.3333333333333333,0.31950094928125844,2.872228629445273
logreg_balanced,id_block_5fold,1,0.9703125,0.9293322267178477,0.902899470899471,0.21531370275773948
logreg_balanced,id_block_5fold,2,0.9671875,0.9589145422478755,0.8649276570803611,0.21039350994556213
logreg_balanced,id_block_5fold,3,0.9484375,0.894316418752509,0.7860289944107963,0.4056364555082842
logreg_balanced,id_block_5fold,4,0.9625,0.9574582226871596,0.9029824561403509,0.20505260889426644
logreg_balanced,id_block_5fold,5,0.9796875,0.9722693831352576,0.9310201895859849,0.1496596470171363
decision_tree_depth3,id_block_5fold,1,0.99375,0.97862848843241,0.9800254814235457,0.02206012511326403
decision_tree_depth3,id_block_5fold,2,0.9953125,0.9803591470258137,0.9781394776194765,0.06831283336253341
decision_tree_depth3,id_block_5fold,3,0.9890625,0.996031746031746,0.9545661290659101,0.18900998500171629
decision_tree_depth3,id_block_5fold,4,0.9890625,0.9959630911188005,0.9728796428872232,0.034434879404103065
decision_tree_depth3,id_block_5fold,5,0.996875,0.9988681380871535,0.989016439909297,0.012541050878402599
decision_tree_depth5,id_block_5fold,1,1.0,1.0,1.0,0.0019231543378930352
decision_tree_depth5,id_block_5fold,2,0.9984375,0.9814814814814815,0.990195842845128,0.05711610287579868
