model,feature_set,accuracy,balanced_accuracy,macro_f1,log_loss,n_errors,seconds,validation,robust_score
decision_tree_depth4,base,0.995,0.9947010929687155,0.9818388218410851,0.03781893164926942,16,0.14514541625976562,stratified_5fold,0.9916349787024502
decision_tree_depth4,base,0.9940625,0.9874183223446465,0.9771884590809178,0.0836159238900731,19,0.05561470985412598,id_block_5fold,0.9881829453563911
decision_tree_depth5,base,0.998125,0.9923742938478104,0.9916541388239501,0.03922944637167138,6,0.09970378875732422,stratified_5fold,0.9950696081679402
decision_tree_depth5,base,0.9971875,0.9885614407717155,0.9861352411914397,0.10229091488658085,9,0.12149524688720703,id_block_5fold,0.9922679204907888
random_forest_depth8_bal,base,0.995,0.9912311754207414,0.9793147714942787,0.08526743100790243,16,3.5609140396118164,stratified_5fold,0.990136486728755
random_forest_depth8_bal,base,0.995,0.9947010929687155,0.9810777876874069,0.08701308826599308,16,3.1541025638580322,id_block_5fold,0.9914447201640306
extra_trees_bal,base,0.976875,0.85184044190437,0.9004489551290175,0.07193164006817938,74,3.253718852996826,stratified_5fold,0.9265098492583469
extra_trees_bal,base,0.9759375,0.8461885601356746,0.8916621641787206,0.07427679960855402,77,2.877169609069824,id_block_5fold,0.9224314310785988
gradient_boosting,base,0.9971875,0.9955012758676638,0.9891202883138367,0.014281056407699616,9,5.2750701904296875,stratified_5fold,0.994749141045375
gradient_boosting,base,0.99625,0.9986282578875172,0.9863490752145273,0.01686581491830284,12,5.082484722137451,id_block_5fold,0.9943693332755111
lgbm_regularized,base,0.9965625,0.9938499031641039,0.9871352956452494,0.014374669000772278,11,0.5253281593322754,stratified_5fold,0.9935275497023384
lgbm_regularized,base,0.996875,0.995386964024957,0.9863943168631327,0.015957993471524642,10,0.33060598373413086,id_block_5fold,0.9938828202220225
lgbm_engineered,eng,0.9984375,0.9943276343831181,0.9944401473588149,0.007205407020802004,5,0.5755250453948975,stratified_5fold,0.9964106954354832
lgbm_engineered,eng,0.9978125,0.9957298995530776,0.9899099640633001,0.009643060367170782,7,0.39874982833862305,id_block_5fold,0.9953162159040945
lgbm_adv_weighted,base,0.995625,0.9935069676359832,0.9844331217877729,0.015370397939600091,14,0.44927096366882324,stratified_5fold,0.992297522355939
lgbm_adv_weighted,base,0.9959375,0.9934131396414628,0.9844515437598124,0.017217762730056443,13,0.39365243911743164,id_block_5fold,0.9924349208503188
logreg_engineered_bal,eng,0.9984375,0.9959585232384914,0.9935324413235193,0.0070993229522521815,5,0.17523622512817383,stratified_5fold,0.9965914911405026
logreg_engineered_bal,eng,0.9978125,0.9957298995530776,0.9899099640633001,0.011275407182744923,7,0.14548420906066895,id_block_5fold,0.9953162159040945
